Quarter	District	Price
2003 3Q	Arganzuela	2999
2003 3Q	Barajas	2935.2
2003 3Q	Carabanchel	2354.4
2003 3Q	Centro	3129.1
2003 3Q	Chamartin	3849.8
2003 3Q	Chamberi	3729.4
2003 3Q	Ciudad Lineal	3079
2003 3Q	Fuencarral	3063.6
2003 3Q	Hortaleza	2936
2003 3Q	Latina	2445.3
2003 3Q	Madrid	3161.1
2003 3Q	Moncloa	3236.5
2003 3Q	Moratalaz	2534.9
2003 3Q	Puente de Vallecas	2298.8
2003 3Q	Retiro	3395.5
2003 3Q	Salamanca	3915.1
2003 3Q	San Blas	2650.6
2003 3Q	Tetuan	3271.8
2003 3Q	Usera	2381
2003 3Q	Vicalvaro	2555.8
2003 3Q	Villa de Vallecas	2250.2
2003 3Q	Villaverde	1930.5
2003 4Q	Arganzuela	3144.5
2003 4Q	Barajas	2952.5
2003 4Q	Carabanchel	2496.4
2003 4Q	Centro	3196.7
2003 4Q	Chamartin	4041.1
2003 4Q	Chamberi	3962.5
2003 4Q	Ciudad Lineal	3311.6
2003 4Q	Fuencarral	3283
2003 4Q	Hortaleza	3045.9
2003 4Q	Latina	2500.4
2003 4Q	Madrid	3295.7
2003 4Q	Moncloa	3362.1
2003 4Q	Moratalaz	2673.4
2003 4Q	Puente de Vallecas	2430.2
2003 4Q	Retiro	3598
2003 4Q	Salamanca	3960
2003 4Q	San Blas	2749.5
2003 4Q	Tetuan	3309.7
2003 4Q	Usera	2424.2
2003 4Q	Vicalvaro	2811.7
2003 4Q	Villa de Vallecas	2389.8
2003 4Q	Villaverde	2132.7
2004 1Q	Arganzuela	3236
2004 1Q	Barajas	2928
2004 1Q	Carabanchel	2570.3
2004 1Q	Centro	3347.4
2004 1Q	Chamartin	4078.5
2004 1Q	Chamberi	4016
2004 1Q	Ciudad Lineal	3230.9
2004 1Q	Fuencarral	3295.6
2004 1Q	Hortaleza	3118.8
2004 1Q	Latina	2430.2
2004 1Q	Madrid	3369.3
2004 1Q	Moncloa	3630
2004 1Q	Moratalaz	2746.6
2004 1Q	Puente de Vallecas	2492.4
2004 1Q	Retiro	3741.5
2004 1Q	Salamanca	4140.6
2004 1Q	San Blas	2897.7
2004 1Q	Tetuan	3462.1
2004 1Q	Usera	2520.8
2004 1Q	Vicalvaro	2747.1
2004 1Q	Villa de Vallecas	2356.6
2004 1Q	Villaverde	2280.6
2004 2Q	Arganzuela	3277.3
2004 2Q	Barajas	2975.7
2004 2Q	Carabanchel	2620.6
2004 2Q	Centro	3436.7
2004 2Q	Chamartin	4180.4
2004 2Q	Chamberi	4066.4
2004 2Q	Ciudad Lineal	3300.2
2004 2Q	Fuencarral	3357.6
2004 2Q	Hortaleza	3210.3
2004 2Q	Latina	2532.3
2004 2Q	Madrid	3387
2004 2Q	Moncloa	3574.3
2004 2Q	Moratalaz	2798
2004 2Q	Puente de Vallecas	2531.9
2004 2Q	Retiro	3629
2004 2Q	Salamanca	4151.8
2004 2Q	San Blas	2968.7
2004 2Q	Tetuan	3401
2004 2Q	Usera	2545.3
2004 2Q	Vicalvaro	2721.1
2004 2Q	Villa de Vallecas	2375.6
2004 2Q	Villaverde	2398.3
2004 3Q	Arganzuela	3285.1
2004 3Q	Barajas	3100.5
2004 3Q	Carabanchel	2624
2004 3Q	Centro	3464
2004 3Q	Chamartin	4139.8
2004 3Q	Chamberi	4217.4
2004 3Q	Ciudad Lineal	3352.4
2004 3Q	Fuencarral	3396.5
2004 3Q	Hortaleza	3224.9
2004 3Q	Latina	2653.9
2004 3Q	Madrid	3434.3
2004 3Q	Moncloa	3520.9
2004 3Q	Moratalaz	2916.8
2004 3Q	Puente de Vallecas	2625.5
2004 3Q	Retiro	3722
2004 3Q	Salamanca	4226.1
2004 3Q	San Blas	2971.2
2004 3Q	Tetuan	3458.6
2004 3Q	Usera	2612.5
2004 3Q	Vicalvaro	2741.7
2004 3Q	Villa de Vallecas	2437.8
2004 3Q	Villaverde	2411.2
2004 4Q	Arganzuela	3401.5
2004 4Q	Barajas	3219.3
2004 4Q	Carabanchel	2643.3
2004 4Q	Centro	3619.3
2004 4Q	Chamartin	4232.2
2004 4Q	Chamberi	4229.8
2004 4Q	Ciudad Lineal	3348.7
2004 4Q	Fuencarral	3428.4
2004 4Q	Hortaleza	3343
2004 4Q	Latina	2777
2004 4Q	Madrid	3541.3
2004 4Q	Moncloa	3645.2
2004 4Q	Moratalaz	2930.8
2004 4Q	Puente de Vallecas	2617.9
2004 4Q	Retiro	3823.9
2004 4Q	Salamanca	4311
2004 4Q	San Blas	3015.2
2004 4Q	Tetuan	3582.7
2004 4Q	Usera	2577.3
2004 4Q	Vicalvaro	2903.7
2004 4Q	Villa de Vallecas	2529.8
2004 4Q	Villaverde	2528
2005 1Q	Arganzuela	3498.5
2005 1Q	Barajas	3292.2
2005 1Q	Carabanchel	2736.2
2005 1Q	Centro	3694
2005 1Q	Chamartin	4240.6
2005 1Q	Chamberi	4262.2
2005 1Q	Ciudad Lineal	3424.3
2005 1Q	Fuencarral	3470.4
2005 1Q	Hortaleza	3351.6
2005 1Q	Latina	2825.2
2005 1Q	Madrid	3596
2005 1Q	Moncloa	3769.6
2005 1Q	Moratalaz	2930.5
2005 1Q	Puente de Vallecas	2662.5
2005 1Q	Retiro	3855.9
2005 1Q	Salamanca	4459.9
2005 1Q	San Blas	3124.4
2005 1Q	Tetuan	3661.9
2005 1Q	Usera	2689
2005 1Q	Vicalvaro	2898
2005 1Q	Villa de Vallecas	2597.6
2005 1Q	Villaverde	2534.6
2005 2Q	Arganzuela	3504.3
2005 2Q	Barajas	3452.9
2005 2Q	Carabanchel	2726.3
2005 2Q	Centro	3784.8
2005 2Q	Chamartin	4366.4
2005 2Q	Chamberi	4274.7
2005 2Q	Ciudad Lineal	3498.7
2005 2Q	Fuencarral	3502.8
2005 2Q	Hortaleza	3395.4
2005 2Q	Latina	2876.4
2005 2Q	Madrid	3638.1
2005 2Q	Moncloa	3800.7
2005 2Q	Moratalaz	2994.4
2005 2Q	Puente de Vallecas	2736
2005 2Q	Retiro	3924.5
2005 2Q	Salamanca	4467.9
2005 2Q	San Blas	3176.7
2005 2Q	Tetuan	3673.7
2005 2Q	Usera	2746.7
2005 2Q	Vicalvaro	2954.1
2005 2Q	Villa de Vallecas	2663.1
2005 2Q	Villaverde	2532.5
2005 3Q	Arganzuela	3595.2
2005 3Q	Barajas	3365.8
2005 3Q	Carabanchel	2777.5
2005 3Q	Centro	3841.3
2005 3Q	Chamartin	4423.8
2005 3Q	Chamberi	4436.2
2005 3Q	Ciudad Lineal	3580.6
2005 3Q	Fuencarral	3471.7
2005 3Q	Hortaleza	3476.2
2005 3Q	Latina	2967.6
2005 3Q	Madrid	3722.4
2005 3Q	Moncloa	3854
2005 3Q	Moratalaz	3044.7
2005 3Q	Puente de Vallecas	2842
2005 3Q	Retiro	4012
2005 3Q	Salamanca	4544
2005 3Q	San Blas	3266.7
2005 3Q	Tetuan	3748.1
2005 3Q	Usera	2792.6
2005 3Q	Vicalvaro	3025
2005 3Q	Villa de Vallecas	2737.4
2005 3Q	Villaverde	2575.7
2005 4Q	Arganzuela	3674
2005 4Q	Barajas	3432.9
2005 4Q	Carabanchel	2855.1
2005 4Q	Centro	4011.1
2005 4Q	Chamartin	4526.2
2005 4Q	Chamberi	4516.5
2005 4Q	Ciudad Lineal	3705.3
2005 4Q	Fuencarral	3593.4
2005 4Q	Hortaleza	3567.4
2005 4Q	Latina	2990.2
2005 4Q	Madrid	3799
2005 4Q	Moncloa	3924.6
2005 4Q	Moratalaz	3108.1
2005 4Q	Puente de Vallecas	2980.5
2005 4Q	Retiro	4061.4
2005 4Q	Salamanca	4552.4
2005 4Q	San Blas	3354.4
2005 4Q	Tetuan	3764.8
2005 4Q	Usera	2903.4
2005 4Q	Vicalvaro	3145.3
2005 4Q	Villa de Vallecas	2879.6
2005 4Q	Villaverde	2657.3
2006 1Q	Arganzuela	3781.2
2006 1Q	Barajas	3445.1
2006 1Q	Carabanchel	2923.7
2006 1Q	Centro	4145.2
2006 1Q	Chamartin	4609.3
2006 1Q	Chamberi	4658.4
2006 1Q	Ciudad Lineal	3695.5
2006 1Q	Fuencarral	3743.4
2006 1Q	Hortaleza	3658.9
2006 1Q	Latina	3096.1
2006 1Q	Madrid	3869.3
2006 1Q	Moncloa	4017.6
2006 1Q	Moratalaz	3242.8
2006 1Q	Puente de Vallecas	3018.8
2006 1Q	Retiro	4136.8
2006 1Q	Salamanca	4659.5
2006 1Q	San Blas	3370.1
2006 1Q	Tetuan	3899.9
2006 1Q	Usera	2981.7
2006 1Q	Vicalvaro	3201.3
2006 1Q	Villa de Vallecas	2997.6
2006 1Q	Villaverde	2672.9
2006 2Q	Arganzuela	3828.3
2006 2Q	Barajas	3514.8
2006 2Q	Carabanchel	3114.4
2006 2Q	Centro	4279.6
2006 2Q	Chamartin	4701.3
2006 2Q	Chamberi	4739
2006 2Q	Ciudad Lineal	3789.2
2006 2Q	Fuencarral	3830.3
2006 2Q	Hortaleza	3673.1
2006 2Q	Latina	3166.7
2006 2Q	Madrid	3946.9
2006 2Q	Moncloa	4079.1
2006 2Q	Moratalaz	3323.6
2006 2Q	Puente de Vallecas	3092.2
2006 2Q	Retiro	4239.5
2006 2Q	Salamanca	4722.6
2006 2Q	San Blas	3413.6
2006 2Q	Tetuan	3964
2006 2Q	Usera	3001.1
2006 2Q	Vicalvaro	3294.4
2006 2Q	Villa de Vallecas	3045.6
2006 2Q	Villaverde	2764
2006 3Q	Arganzuela	3903.5
2006 3Q	Barajas	3554.2
2006 3Q	Carabanchel	3161.2
2006 3Q	Centro	4261.9
2006 3Q	Chamartin	4668.8
2006 3Q	Chamberi	4752.4
2006 3Q	Ciudad Lineal	3804.7
2006 3Q	Fuencarral	3830.9
2006 3Q	Hortaleza	3760.6
2006 3Q	Latina	3226.7
2006 3Q	Madrid	3969.3
2006 3Q	Moncloa	4259.4
2006 3Q	Moratalaz	3332.5
2006 3Q	Puente de Vallecas	3109.4
2006 3Q	Retiro	4321.2
2006 3Q	Salamanca	4763.7
2006 3Q	San Blas	3366.4
2006 3Q	Tetuan	3955.1
2006 3Q	Usera	3076.1
2006 3Q	Vicalvaro	3158.5
2006 3Q	Villa de Vallecas	3113.1
2006 3Q	Villaverde	2803.3
2006 4Q	Arganzuela	3980.4
2006 4Q	Barajas	3707.3
2006 4Q	Carabanchel	3210.2
2006 4Q	Centro	4304.5
2006 4Q	Chamartin	4797.8
2006 4Q	Chamberi	4829
2006 4Q	Ciudad Lineal	3818.4
2006 4Q	Fuencarral	3868.2
2006 4Q	Hortaleza	3819.6
2006 4Q	Latina	3223.4
2006 4Q	Madrid	3996.5
2006 4Q	Moncloa	4275.3
2006 4Q	Moratalaz	3391.1
2006 4Q	Puente de Vallecas	3138.2
2006 4Q	Retiro	4397
2006 4Q	Salamanca	4811.7
2006 4Q	San Blas	3446.7
2006 4Q	Tetuan	3954.3
2006 4Q	Usera	3096.2
2006 4Q	Vicalvaro	3169.5
2006 4Q	Villa de Vallecas	3158.3
2006 4Q	Villaverde	2867.5
2007 1Q	Arganzuela	3970.8
2007 1Q	Barajas	3687.7
2007 1Q	Carabanchel	3227.7
2007 1Q	Centro	4398.2
2007 1Q	Chamartin	4860.6
2007 1Q	Chamberi	4927.5
2007 1Q	Ciudad Lineal	3788.4
2007 1Q	Fuencarral	3920.5
2007 1Q	Hortaleza	3840.2
2007 1Q	Latina	3239.5
2007 1Q	Madrid	4030.1
2007 1Q	Moncloa	4308.1
2007 1Q	Moratalaz	3353.4
2007 1Q	Puente de Vallecas	3138.2
2007 1Q	Retiro	4420.8
2007 1Q	Salamanca	4995.3
2007 1Q	San Blas	3450.7
2007 1Q	Tetuan	3960.7
2007 1Q	Usera	3030.6
2007 1Q	Vicalvaro	3091.4
2007 1Q	Villa de Vallecas	3175.9
2007 1Q	Villaverde	2831.8
2007 2Q	Arganzuela	3927
2007 2Q	Barajas	3730.2
2007 2Q	Carabanchel	3182.9
2007 2Q	Centro	4454.4
2007 2Q	Chamartin	4884.6
2007 2Q	Chamberi	4941.8
2007 2Q	Ciudad Lineal	3762
2007 2Q	Fuencarral	3916.6
2007 2Q	Hortaleza	3870.8
2007 2Q	Latina	3213.8
2007 2Q	Madrid	4034.7
2007 2Q	Moncloa	4386
2007 2Q	Moratalaz	3375.1
2007 2Q	Puente de Vallecas	3088.7
2007 2Q	Retiro	4418.4
2007 2Q	Salamanca	5001
2007 2Q	San Blas	3453.6
2007 2Q	Tetuan	3921.9
2007 2Q	Usera	3021.4
2007 2Q	Vicalvaro	3124.4
2007 2Q	Villa de Vallecas	3091.4
2007 2Q	Villaverde	2829.6
2007 3Q	Arganzuela	3913.5
2007 3Q	Barajas	3651.2
2007 3Q	Carabanchel	3147.7
2007 3Q	Centro	4404.7
2007 3Q	Chamartin	4913.4
2007 3Q	Chamberi	4909.5
2007 3Q	Ciudad Lineal	3768.8
2007 3Q	Fuencarral	3891.6
2007 3Q	Hortaleza	3878.4
2007 3Q	Latina	3161.6
2007 3Q	Madrid	3999.7
2007 3Q	Moncloa	4430
2007 3Q	Moratalaz	3327.1
2007 3Q	Puente de Vallecas	3040.4
2007 3Q	Retiro	4417.8
2007 3Q	Salamanca	5082.3
2007 3Q	San Blas	3392
2007 3Q	Tetuan	3920.1
2007 3Q	Usera	3019.7
2007 3Q	Vicalvaro	3122.3
2007 3Q	Villa de Vallecas	3140.8
2007 3Q	Villaverde	2839.8
2007 4Q	Arganzuela	3893.9
2007 4Q	Barajas	3638.1
2007 4Q	Carabanchel	3103
2007 4Q	Centro	4421.6
2007 4Q	Chamartin	4931
2007 4Q	Chamberi	4982.2
2007 4Q	Ciudad Lineal	3725.5
2007 4Q	Fuencarral	3832.7
2007 4Q	Hortaleza	3910.2
2007 4Q	Latina	3105.6
2007 4Q	Madrid	3985.5
2007 4Q	Moncloa	4362.3
2007 4Q	Moratalaz	3233.8
2007 4Q	Puente de Vallecas	3031.1
2007 4Q	Retiro	4402.4
2007 4Q	Salamanca	5015.4
2007 4Q	San Blas	3350.2
2007 4Q	Tetuan	3936.3
2007 4Q	Usera	2994.5
2007 4Q	Vicalvaro	3157.9
2007 4Q	Villa de Vallecas	3084.2
2007 4Q	Villaverde	2803.8
2008 1Q	Arganzuela	3854.7
2008 1Q	Barajas	3636.7
2008 1Q	Carabanchel	3066.7
2008 1Q	Centro	4387.2
2008 1Q	Chamartin	4969.8
2008 1Q	Chamberi	4985
2008 1Q	Ciudad Lineal	3763.9
2008 1Q	Fuencarral	3839.3
2008 1Q	Hortaleza	3950
2008 1Q	Latina	3071.5
2008 1Q	Madrid	3982.2
2008 1Q	Moncloa	4395.6
2008 1Q	Moratalaz	3224.8
2008 1Q	Puente de Vallecas	2990.8
2008 1Q	Retiro	4426.5
2008 1Q	Salamanca	5054.5
2008 1Q	San Blas	3337.3
2008 1Q	Tetuan	3901.4
2008 1Q	Usera	2959.7
2008 1Q	Vicalvaro	3120.2
2008 1Q	Villa de Vallecas	3063
2008 1Q	Villaverde	2767.6
2008 2Q	Arganzuela	3721.2
2008 2Q	Barajas	3601.9
2008 2Q	Carabanchel	2966.4
2008 2Q	Centro	4303.1
2008 2Q	Chamartin	4939
2008 2Q	Chamberi	4885.7
2008 2Q	Ciudad Lineal	3701.8
2008 2Q	Fuencarral	3720.1
2008 2Q	Hortaleza	3853
2008 2Q	Latina	2971.4
2008 2Q	Madrid	3898.6
2008 2Q	Moncloa	4313.7
2008 2Q	Moratalaz	3142
2008 2Q	Puente de Vallecas	2840.6
2008 2Q	Retiro	4372.3
2008 2Q	Salamanca	5040.8
2008 2Q	San Blas	3205.5
2008 2Q	Tetuan	3806.8
2008 2Q	Usera	2857.7
2008 2Q	Vicalvaro	2966.2
2008 2Q	Villa de Vallecas	2925.8
2008 2Q	Villaverde	2610.8
2008 3Q	Arganzuela	3624.5
2008 3Q	Barajas	3518.5
2008 3Q	Carabanchel	2843.8
2008 3Q	Centro	4137.1
2008 3Q	Chamartin	5028.8
2008 3Q	Chamberi	4790.3
2008 3Q	Ciudad Lineal	3679.3
2008 3Q	Fuencarral	3665.7
2008 3Q	Hortaleza	3867.5
2008 3Q	Latina	2857.2
2008 3Q	Madrid	3839.7
2008 3Q	Moncloa	4238.3
2008 3Q	Moratalaz	3019.5
2008 3Q	Puente de Vallecas	2736.7
2008 3Q	Retiro	4313.3
2008 3Q	Salamanca	5166.9
2008 3Q	San Blas	3142.4
2008 3Q	Tetuan	3740
2008 3Q	Usera	2786
2008 3Q	Vicalvaro	2819.5
2008 3Q	Villa de Vallecas	2830.2
2008 3Q	Villaverde	2503.5
2008 4Q	Arganzuela	3550.7
2008 4Q	Barajas	3397.8
2008 4Q	Carabanchel	2790.6
2008 4Q	Centro	4092.5
2008 4Q	Chamartin	4979.1
2008 4Q	Chamberi	4693.4
2008 4Q	Ciudad Lineal	3567
2008 4Q	Fuencarral	3612
2008 4Q	Hortaleza	3888.9
2008 4Q	Latina	2777.1
2008 4Q	Madrid	3781.5
2008 4Q	Moncloa	4135.2
2008 4Q	Moratalaz	2891.6
2008 4Q	Puente de Vallecas	2610.7
2008 4Q	Retiro	4211.7
2008 4Q	Salamanca	5201.8
2008 4Q	San Blas	3097.7
2008 4Q	Tetuan	3656.8
2008 4Q	Usera	2659.3
2008 4Q	Vicalvaro	2769.1
2008 4Q	Villa de Vallecas	2779.9
2008 4Q	Villaverde	2432.9
2009 1Q	Arganzuela	3436
2009 1Q	Barajas	3276.4
2009 1Q	Carabanchel	2679.9
2009 1Q	Centro	3988.2
2009 1Q	Chamartin	4822.2
2009 1Q	Chamberi	4668.1
2009 1Q	Ciudad Lineal	3540.2
2009 1Q	Fuencarral	3589.9
2009 1Q	Hortaleza	3835.8
2009 1Q	Latina	2658.6
2009 1Q	Madrid	3719
2009 1Q	Moncloa	4143.6
2009 1Q	Moratalaz	2834.8
2009 1Q	Puente de Vallecas	2493.1
2009 1Q	Retiro	4192.2
2009 1Q	Salamanca	5054.9
2009 1Q	San Blas	2987.9
2009 1Q	Tetuan	3558.8
2009 1Q	Usera	2584.7
2009 1Q	Vicalvaro	2692.5
2009 1Q	Villa de Vallecas	2684.2
2009 1Q	Villaverde	2343.7
2009 2Q	Arganzuela	3408.1
2009 2Q	Barajas	3254.1
2009 2Q	Carabanchel	2622.2
2009 2Q	Centro	3896.5
2009 2Q	Chamartin	4760
2009 2Q	Chamberi	4681.2
2009 2Q	Ciudad Lineal	3480.2
2009 2Q	Fuencarral	3557.5
2009 2Q	Hortaleza	3822.8
2009 2Q	Latina	2615.2
2009 2Q	Madrid	3697.3
2009 2Q	Moncloa	4087
2009 2Q	Moratalaz	2757.4
2009 2Q	Puente de Vallecas	2442
2009 2Q	Retiro	4161
2009 2Q	Salamanca	5022.7
2009 2Q	San Blas	2932.2
2009 2Q	Tetuan	3525.4
2009 2Q	Usera	2510
2009 2Q	Vicalvaro	2586.8
2009 2Q	Villa de Vallecas	2646.1
2009 2Q	Villaverde	2311.8
2009 3Q	Arganzuela	3392.8
2009 3Q	Barajas	3304.9
2009 3Q	Carabanchel	2623.7
2009 3Q	Centro	3897.3
2009 3Q	Chamartin	4789.6
2009 3Q	Chamberi	4737.2
2009 3Q	Ciudad Lineal	3512
2009 3Q	Fuencarral	3515.4
2009 3Q	Hortaleza	3782.1
2009 3Q	Latina	2577.1
2009 3Q	Madrid	3651.7
2009 3Q	Moncloa	4076.3
2009 3Q	Moratalaz	2717
2009 3Q	Puente de Vallecas	2390.4
2009 3Q	Retiro	4186.6
2009 3Q	Salamanca	4917.6
2009 3Q	San Blas	2928
2009 3Q	Tetuan	3478.7
2009 3Q	Usera	2469.4
2009 3Q	Vicalvaro	2552.4
